,CompoundScore,NegativeScore,NeutralScore,NewsOutlet,PositiveScore,Timestamp,Tweet,TweetAgo
53,-0.3818,0.161,0.744,BBC,0.095,2018-03-26 10:45:04 AM,"Tom Cruise stars in a remake of the 1953 adaptation of HG Wells’s classic novel. ?

War of the Worlds | @BBCiPlayer… https://t.co/h19JvTlFSA",53
54,0.5859,0.0,0.787,BBC,0.213,2018-03-26 11:25:02 AM,"?? Joy and Mary flew WW2 planes before any navigation system was installed.
#RAFat100 https://t.co/yxNMblfTEf",54
55,0.0,0.0,1.0,BBC,0.0,2018-03-26 12:30:04 PM,?? It was a Dachsh(und) to the finish line. https://t.co/7VvkU5GfUg,55
56,0.2942,0.0,0.872,BBC,0.128,2018-03-27 01:00:08 PM,"??? Even if you don't speak German, this is worth watching until the end! 
#LiveAtTheApollo https://t.co/J3l8oToRbk",56
57,0.0,0.0,1.0,BBC,0.0,2018-03-27 01:30:07 PM,"When mother Marie mysteriously leaves the family home, the repercussions are enormous.

#ComeHome | 9pm | @BBCOne |… https://t.co/S4JgnzQlAx",57
58,-0.4588,0.124,0.827,BBC,0.049,2018-03-27 02:00:08 AM,"The number of children living in relative poverty in the UK has risen to 4.1m. 

This is the story of Tyler, one of… https://t.co/xFtEAjBTXC",58
59,0.0,0.0,1.0,BBC,0.0,2018-03-27 02:30:04 AM,"About 700,000 people in the UK are on the autism spectrum, with five times as many males as females being diagnosed… https://t.co/PXJMuG76Tn",59
60,0.0,0.0,1.0,BBC,0.0,2018-03-27 03:00:04 AM,"When this woman visited an uninhabited Caribbean island, the last thing she expected was to find it covered in plas… https://t.co/cpKW9tl61v",60
61,0.5994,0.0,0.843,BBC,0.157,2018-03-27 04:36:48 AM,"RT @bbcgetinspired: Check out @JesseLingard and some of his @PremierLeague mates showing us their super moves. ?? 

Show us yours with #sup…",61
62,0.0,0.0,1.0,BBC,0.0,2018-03-27 04:38:59 AM,"RT @BBCR1: We can't get enough of @george_ezra's Live Lounge ?

Watch him perform 'Paradise' and cover 'These Days' right here ?https://t.c…",62
63,0.4019,0.0,0.876,BBC,0.124,2018-03-27 04:39:23 AM,RT @BBCBreakfast: A team of abseilers have been roped in to give Cheddar Gorge in Somerset an extreme spring clean. https://t.co/iYmkiizeRi,63
64,0.0,0.0,1.0,BBC,0.0,2018-03-27 04:40:22 AM,"RT @BBCTwo: Now we've got our country back... what actually is it? ?

#CunkOnBritain starts Tuesday 3 April, 10pm, @BBCTwo. @missdianemorga…",64
65,0.0,0.0,1.0,BBC,0.0,2018-03-27 04:52:08 AM,"?? 'Mad' Mike Hughes flew his home-made rocket to try and 'prove' the earth is flat. 

? SPOILER: it's not.  https://t.co/f5oNRItwyq",65
66,0.25,0.0,0.875,BBC,0.125,2018-03-27 06:00:06 AM,"? @MargotRobbie is planning a new TV series, which will give Shakespeare plays a 'female perspective'.
?… https://t.co/pTLXfve0ds",66
67,0.0,0.0,1.0,BBC,0.0,2018-03-27 06:05:06 AM,"There's over 50 classic cookery shows being served up on @BBCiPlayer this #EasterWeekend. 
? https://t.co/CKECZMGmx8 https://t.co/j3RfAYQvTI",67
68,0.0,0.0,1.0,BBC,0.0,2018-03-27 07:00:08 AM,The ancient Greeks thought a life of ‘constant leisure’ was the highest life you could live. https://t.co/sascCq8iks,68
69,0.0,0.0,1.0,BBC,0.0,2018-03-27 08:33:01 AM,?? The first polar bear cub to be born in the UK for 25 years has been filmed adapting to its surroundings. https://t.co/EsxbH18cN5,69
70,-0.5994,0.14,0.86,BBC,0.0,2018-03-27 09:30:37 AM,"RT @BBCWorld: It's 50 years since the death of Yuri Gagarin, the Russian cosmonaut who was the first man to travel into space ??? https://t…",70
71,0.0,0.0,1.0,BBC,0.0,2018-03-27 10:26:23 AM,"RT @BBCR1: (•_•)
&lt;)   )?who
 /    \ 

  (•_•)
 \(   (&gt; bit
  /    \

 (•_•)
&lt;)   )?Beyoncé? 
 /    \ 

https://t.co/7hQd9mcKUY",71
72,0.0,0.0,1.0,BBC,0.0,2018-03-27 10:33:24 AM,"RT @bbccomedy: Cathy, master of shade. #Mum https://t.co/VjC2ttkaNF",72
73,-0.3064,0.134,0.866,BBC,0.0,2018-03-27 10:36:22 AM,RT @bbcthree: 12-year-old Keilan has very severe curvature of the spine. He needs surgery ASAP but the 5 hour operation could leave him par…,73
74,0.0,0.0,1.0,BBC,0.0,2018-03-27 10:38:26 AM,"RT @BBCScotland: Meet the master of the radiator harp

@DaftLimmy returns to BBC Scotland on Thursday 5 April. https://t.co/G7mjFEJx6k",74
75,0.6114,0.0,0.75,BBC,0.25,2018-03-27 10:40:40 AM,RT @BBCTwo: Happy #WorldTheatreDay! *leaves this here and runs away* @SaraPascoe ?? https://t.co/3XlEb5gr15,75
76,0.0,0.0,1.0,BBC,0.0,2018-03-27 11:00:15 AM,? What does Facebook know about you? https://t.co/lG4ffeCG09,76
77,0.0,0.0,1.0,BBC,0.0,2018-03-27 12:00:07 PM,"? We've got oodles of noodles with recipes for pad Thai, chow mein, ramen, pho and stir-fries.
?… https://t.co/JWfrcIhn2X",77
78,0.0,0.0,1.0,BBC,0.0,2018-03-28 01:00:05 PM,?? This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW,78
79,-0.4588,0.176,0.824,BBC,0.0,2018-03-28 02:00:02 AM,"'I made a decision to not be unbelievably busy.'

@Meshel_Laurie on beating busyness with Buddhism. https://t.co/7ynSgadRyq",79
80,-0.25,0.192,0.692,BBC,0.115,2018-03-28 02:30:05 AM,"? Feeling moody? 
Your gut bacteria might be to blame...
? https://t.co/2oPWKjf4D2 https://t.co/Xr5MwczfGR",80
81,-0.7351,0.256,0.744,BBC,0.0,2018-03-28 03:00:02 AM,"?? After seeing her brother's struggles with depression, Luli's on a mission to break the stigma in the black commu… https://t.co/kl1ak4Gu6w",81
82,0.0,0.0,1.0,BBC,0.0,2018-03-28 04:14:19 AM,"RT @bbcarts: Andrew Scott, as Hamlet, performs the opening lines of #Shakespeare's most famous soliloquy. Watch the full production at 9pm,…",82
83,0.0,0.0,1.0,BBC,0.0,2018-03-28 04:53:41 AM,?? Are your bathroom toys in-fact DEADLY? ? https://t.co/YrtMOzTvrb,83
84,-0.3612,0.135,0.865,BBC,0.0,2018-03-28 05:33:03 AM,Tickling sticks have been placed on statues in Liverpool ahead of Sir Ken Dodd's funeral. https://t.co/pPGGg07ZQi https://t.co/LSwzv5Qipw,84
85,0.0,0.0,1.0,BBC,0.0,2018-03-28 05:53:47 AM,"RT @bbcthree: In our latest doc, we investigate allegations that R Kelly has been training a 14-year-old girl to be one his sex ""pets"" http…",85
86,0.0,0.0,1.0,BBC,0.0,2018-03-28 06:04:03 AM,"? Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu",86
87,0.3182,0.056,0.837,BBC,0.108,2018-03-28 06:30:09 AM,??? People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3,87
88,0.0,0.0,1.0,BBC,0.0,2018-03-28 06:42:34 AM,RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…,88
89,0.0,0.0,1.0,BBC,0.0,2018-03-28 06:45:32 AM,RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…,89
90,-0.34,0.098,0.902,BBC,0.0,2018-03-28 06:47:08 AM,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…",90
91,0.0,0.0,1.0,BBC,0.0,2018-03-28 06:47:35 AM,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…",91
92,0.0,0.0,1.0,BBC,0.0,2018-03-28 06:49:07 AM,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…",92
93,0.0,0.0,1.0,BBC,0.0,2018-03-28 06:50:54 AM,RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto ? https://t.co/c3PuiYT6S…,93
94,-0.3182,0.113,0.887,BBC,0.0,2018-03-28 07:26:01 AM,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO",94
95,0.0,0.0,1.0,BBC,0.0,2018-03-28 08:32:04 AM,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. ? https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1",95
96,0.7506,0.0,0.72,BBC,0.28,2018-03-28 10:35:27 AM,RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…,96
97,0.0,0.0,1.0,BBC,0.0,2018-03-28 11:00:10 AM,Slacking off in Dubai. https://t.co/a3oSKIxfSK,97
98,-0.8225,0.312,0.688,BBC,0.0,2018-03-28 11:30:00 AM,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP,98
99,0.296,0.0,0.891,BBC,0.109,2018-03-28 12:00:12 PM,"? 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N",99
100,0.0,0.0,1.0,CBS,0.0,2018-02-11 08:32:33 PM,RT @startrekcbs: Binge the entire first season of #StarTrekDiscovery. All 15 episodes now streaming on CBS All Access: https://t.co/lKLaptP…,0
101,0.0,0.0,1.0,CBS,0.0,2018-02-12 01:49:45 PM,RT @thegoodfight: Christine Baranski reflects upon the spectacular metamorphosis of her character in #TheGoodFight's first season. Revisit…,1
102,0.7506,0.0,0.748,CBS,0.252,2018-02-13 01:54:52 PM,"RT @LivinBiblically: Against all odds (and the advice of his God Squad), Chip is determined to live life by the Good Book. Think you could…",2
103,0.0,0.0,1.0,CBS,0.0,2018-02-13 03:03:56 PM,"RT @NoActivityCBS: Car 27 reporting: Season 2 of #NoActivity coming soon!

Binge season one now on CBS All Access: https://t.co/yvxoQMeyhN…",3
104,0.8619,0.0,0.534,CBS,0.466,2018-02-14 02:23:27 PM,RT @BullCBS: The verdict is in...#Bull is the perfect Valentine! ?? Happy #ValentinesDay! https://t.co/poEejI4AnC,4
105,0.3182,0.0,0.892,CBS,0.108,2018-02-16 01:42:43 PM,"RT @LivinBiblically: While Chip's sticking to the Bible's original rules, the cast of #LivingBiblically has given them a more modern makeov…",5
106,0.6124,0.0,0.773,CBS,0.227,2018-02-16 08:07:20 PM,"With tournament dreams on the line, make sure to stream these college basketball matchups on CBS All Access:… https://t.co/SGkYUZrQWB",6
107,0.68,0.0,0.752,CBS,0.248,2018-02-16 12:48:20 PM,"Casting News! Peter Mark Kendall, Michael Gaston, Greg Wise, Rade Šerbedžija, Zack Pearlman, and Keye Chen join the… https://t.co/GFob2KrD8H",7
108,0.4404,0.0,0.884,CBS,0.116,2018-02-20 02:55:19 PM,"RT @LivinBiblically: When you're living by the Bible, it's good to have a priest and a rabbi on call (provided they answer their phones, th…",8
109,0.3612,0.0,0.872,CBS,0.128,2018-02-20 12:39:51 PM,Ready for some larger than life competition? This new series from @MarkBurnettTV will premiere in summer 2018.… https://t.co/gDXHLdIJ5v,9
110,-0.4019,0.119,0.881,CBS,0.0,2018-02-20 12:58:18 PM,"RT @thegoodfight: Chicago lawyers are being hunted and the world is going insane. 

The new season of #TheGoodFight premieres Sunday, March…",10
111,0.6808,0.0,0.752,CBS,0.248,2018-02-21 01:19:25 PM,"RT @CBSEyeSpeak: Proud to announce a new CBS initiative, promoting female empowerment and developing the next generation of leaders through…",11
112,0.0,0.0,1.0,CBS,0.0,2018-02-21 02:20:04 PM,RT @CBSEyeSpeak: Mark your calendars! #CBSEyeSpeak kicks off March 14 with The EYE Speak Summit. Follow our page for more details! https://…,12
113,0.0,0.0,1.0,CBS,0.0,2018-02-22 02:26:52 PM,"RT @LivinBiblically: Confession time: have YOU ever hit the ""close door"" button in an elevator while somebody was approaching? The cast of…",13
114,0.5093,0.0,0.845,CBS,0.155,2018-02-23 01:15:40 PM,RT @thegoodfight: This is our new favorite thing. Christine Baranski debuted #TheGoodFight the Musical on @colbertlateshow last night! ??…,14
115,0.0,0.0,1.0,CBS,0.0,2018-02-25 04:51:22 PM,"RT @thegoodfight: #TheGoodFight returns in 1 week. Season 2 premieres Sunday, March 4. https://t.co/nomCao1GWp https://t.co/BOn6bOe9Tb",15
116,0.0,0.0,1.0,CBS,0.0,2018-02-25 04:51:32 PM,RT @startrekcbs: Binge the entire first season of #StarTrekDiscovery. All episodes now streaming exclusively on CBS All Access: https://t.c…,16
117,0.7644,0.0,0.769,CBS,0.231,2018-02-25 08:12:32 PM,"RT @CBSBigBrother: It’s down to the final 5 celebrity Houseguests, and anyone could take home the grand prize! Tune in NOW to watch the #BB…",17
118,0.9359,0.0,0.571,CBS,0.429,2018-02-26 01:20:16 PM,RT @TheTalkCBS: TODAY: We loved them together then &amp; we love seeing them together now! Welcome back to the show @THESaraGilbert?'s good fri…,18
119,0.784,0.0,0.734,CBS,0.266,2018-02-26 01:32:36 PM,RT @SuperiorDonuts: You can always count on @DavidKoechner for a laugh! Did your favorite Tush moment make the list? Catch a new #SuperiorD…,19
120,0.4482,0.0,0.895,CBS,0.105,2018-02-26 02:53:41 PM,"RT @ScorpionCBS: You can't hack your way to a 197 IQ, but you are well on your way with these Genius Facts from #TeamScorpion! ? You can be…",20
121,0.0,0.0,1.0,CBS,0.0,2018-02-26 04:08:30 PM,"RT @ACMawards: That’s right! @Reba is headed to @CBSThisMorning on Thursday, March 1 to announce this year’s #ACMAwards' nominees. Tune in…",21
122,0.0,0.0,1.0,CBS,0.0,2018-02-26 05:50:32 PM,"RT @KevinCanWaitCBS: Can you get all the way through these #KevinCanWait bloopers without laughing?! @KevinJames,@LeahRemini and the rest o…",22
123,0.5562,0.0,0.848,CBS,0.152,2018-02-26 10:23:47 PM,RT @LivinBiblically: The fun continues on Facebook! The #LivingBiblically cast is live to talk about tonight’s premiere. Tune in here: http…,23
124,0.0,0.0,1.0,CBS,0.0,2018-02-26 11:17:55 AM,"RT @CBSSports: Introducing CBS Sports HQ, a New 24/7 Direct-to-Consumer Streaming Network for Sports News, Highlights, &amp; Analysis.

Stream…",24
125,0.0,0.0,1.0,CBS,0.0,2018-02-26 11:52:01 AM,"#LivingBiblically's @linzkraft and @jrfergjr appeared on @KCBS's Facebook Live this morning, talking all about what… https://t.co/4RebcHuuMQ",25
126,-0.5423,0.184,0.816,CBS,0.0,2018-02-26 11:53:56 AM,"RT @thegoodfight: As foundations begin to crumble, our characters struggle to make sense of this new dystopian world. The cast teases what'…",26
127,0.4404,0.0,0.884,CBS,0.116,2018-02-28 02:08:30 PM,"RT @thegoodfight: From the set design and costumes to hair and makeup, the production quality is truly next-level. Take a peek inside the u…",27
128,0.0,0.0,1.0,CBS,0.0,2018-02-28 02:56:58 PM,"RT @CBSThisMorning: TOMORROW: The nominees for the 2018 @ACMawards will be announced live by the one-and-only, @Reba! 

Watch on @CBS in ou…",28
129,0.0,0.0,1.0,CBS,0.0,2018-02-28 08:04:52 PM,RT @survivorcbs: It’s time! #Survivor https://t.co/YPk6cGWrUA,29
130,0.4885,0.151,0.615,CBS,0.234,2018-03-01 01:10:50 PM,RT @KeithUrban: ACMs...... HOLY SMOKES!!!!! MAD LOVE TO U ALL THIS MORNING  FOR THESE INCREDIBLE NOMINATIONS. I’M EXTREMELY GRATEFUL!!!!!!!…,30
131,0.8591,0.0,0.462,CBS,0.538,2018-03-01 01:11:50 PM,RT @KelseaBallerini: Ohhhhh goodness. Incredible. Thank you thank you thank you. #female https://t.co/1ZTYjNfQeF,31
132,0.4547,0.092,0.749,CBS,0.159,2018-03-01 01:12:57 PM,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…",32
133,-0.6981,0.21,0.79,CBS,0.0,2018-03-01 01:59:01 PM,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY,33
134,0.0,0.0,1.0,CBS,0.0,2018-03-01 08:50:11 AM,"The Queen of Country, @Reba, is returning to host the 53rd #ACMawards on Sunday, April 15 at 8/7c. Here are a few o… https://t.co/Iqzz6Gql01",34
135,0.6908,0.0,0.725,CBS,0.275,2018-03-01 09:15:29 AM,".@ChrisStapleton, @ThomasRhett, @mirandalambert and more are all nominated for awards at Country Music's Party of t… https://t.co/Vm1vXRUDYJ",35
136,0.7717,0.0,0.675,CBS,0.325,2018-03-01 09:29:20 AM,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…",36
